article_id,link,title,description,content,keywords,creator,language,country,category,pubDate,pubDateTZ,image_url,video_url,source_id,source_name,source_priority,source_url,source_icon,sentiment,sentiment_stats,ai_tag,ai_region,ai_org,ai_summary,duplicate,source
d6a9880719d77487cbe59007e90e2a8d,https://www.cnn.com/us/stand-your-ground-laws-limits-states,Indiana fatal shooting renews questions about stand-your-ground laws and their limits. Here’s what to know | CNN,"Maria Florinda Rios Perez De Velasquez’s mistaken arrival at the wrong Indiana address Wednesday cost her her life. As the house cleaner tried to enter the home she thought was scheduled for housekeeping that morning, the homeowner fatally shot her.",ONLY AVAILABLE IN PAID PLANS,,['Danya Gainor'],english,['united states of america'],"['top', 'crime']",2025-11-18 09:00:01,UTC,https://media.cnn.com/api/v1/images/stellar/prod/c-ap25311730392460.jpg?c=16x9&q=h_720%2Cw_1280%2Cc_fill%2Fw_256,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
e5c21d3cf6d750d805043cfd092fc416,https://www.cnn.com/2025/11/17/politics/video/judge-says-comey-indictment-may-tainted-katelyn-polantz-digvid,Judge says Comey indictment may be tainted,"A federal judge on Monday scorched the Justice Department’s handling of years-old evidence in its case against former FBI Director James Comey, raising the possibility that US Attorney Lindsey Halligan may have botched the grand jury proceeding and the indictment could be tainted. CNN's Katelyn Polantz reports.",ONLY AVAILABLE IN PAID PLANS,,['Katelyn Polantz'],english,['united states of america'],"['top', 'crime']",2025-11-18 02:38:32,UTC,https://media.cnn.com/api/v1/images/stellar/prod/115252-comey-indictment-update-polantz-digvid-v1.jpg?c=16x9&q=w_1280%2Cc_fill,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
e3876a3e190e67d24102e1082477b49a,https://www.cnn.com/2025/11/17/us/baltimore-key-bridge-rebuild-cost-doubles,"Cost to rebuild Baltimore’s key bridge more than doubles, completion now expected in late 2030 | CNN",The expected price tag of Baltimore’s Francis Scott Key Bridge – the overpass that collapsed and left six dead – has more than doubled and is expected to be completed later than what authorities previously said according to a release on Monday.,ONLY AVAILABLE IN PAID PLANS,,['Michelle Watson'],english,['united states of america'],"['top', 'crime']",2025-11-18 02:03:51,UTC,https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2122667630.jpg?c=16x9&q=w_800%2Cc_fill,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
61c88621a7df0015c4347f54908076b7,https://www.cnn.com/2025/11/17/us/john-beam-coach-shooting-cedric-irving-jr,Man charged with murder in shooting of Oakland football coach and ‘Last Chance U’ star John Beam | CNN,"A 27-year-old man was charged Monday with murder in the shooting death of celebrated former football coach John Beam, who died Friday after being shot in the head on the junior college campus in Oakland where he worked.",ONLY AVAILABLE IN PAID PLANS,,['Associated Press'],english,['united states of america'],"['top', 'crime']",2025-11-17 23:06:52,UTC,https://media.cnn.com/api/v1/images/stellar/prod/lastchanceu-laney-part1-episode5-00-36-57-18-rc.jpg?c=16x9&q=h_720%2Cw_1280%2Cc_fill%2Fw_256,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
26b2c31ef71926f727eb8e14c54bbf5f,https://www.cnn.com/2025/11/17/politics/video/election-exonerated-wrongfully-convicted-prison-new-orleans-jake-tapper-lead,Wrongfully convicted man wins elected office in New Orleans,Calvin Duncan joins The Lead.,ONLY AVAILABLE IN PAID PLANS,"['jake tapper', 'the lead']",['Camila Moreno-Lizarazo'],english,['united states of america'],"['top', 'crime']",2025-11-17 23:02:00,UTC,https://media.cnn.com/api/v1/images/stellar/prod/duncan-20251117223954285.jpg?c=16x9&q=w_1280%2Cc_fill,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
2d6eb67d8b3bab55439ab38bff548592,https://www.cnn.com/2025/11/17/us/national-guard-portland-chicago,Hundreds of National Guard troops deployed to Portland and Chicago are being sent home | CNN,"Hundreds of National Guard troops deployed to Chicago and Portland, Oregon, are being sent home, and those who will remain will continue to stay off the streets amid court battles over their domestic mission by the Trump administration, a defense official said Monday.",ONLY AVAILABLE IN PAID PLANS,,['CNN'],english,['united states of america'],"['top', 'crime']",2025-11-17 22:55:13,UTC,https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2245682029.jpg?c=16x9&q=w_800%2Cc_fill,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
870786fe8d2340fe567aa63f4f990dc5,https://www.cnn.com/2025/11/17/us/5-things-pm-november-17-trnd,"Stellar explosions, unlikely tourist destination, ant warfare: Catch up on the day’s stories | CNN",CNN’s 5 Things PM brings you the stories you might have missed during your busy day.,ONLY AVAILABLE IN PAID PLANS,,['Daniel Wine'],english,['united states of america'],"['top', 'crime']",2025-11-17 21:58:53,UTC,https://media.cnn.com/api/v1/images/stellar/prod/251114-tws-return-to-the-land-thumbnail-clean.jpg?c=16x9,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
6ef3e2c940267068b84c9233c156790a,https://www.cnn.com/2025/11/17/us/meat-cleaver-on-plane,TSA investigating how a meat cleaver made it onto a plane in Portland | CNN,"The Transportation Security Administration is investigating how someone was able to bring a meat cleaver on a Delta Air Lines plane in Portland, Oregon Thursday.",ONLY AVAILABLE IN PAID PLANS,,['Aaron Cooper'],english,['united states of america'],"['top', 'crime']",2025-11-17 20:07:41,UTC,https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-172962076.jpg?c=16x9&q=w_800%2Cc_fill,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
ce87f3ef5bf78932b1891b5a90c39ae6,https://www.cnn.com/2025/11/17/us/indiana-house-cleaner-shot,Indiana homeowner charged in fatal shooting of house cleaner who showed up at the wrong door | CNN,An Indiana homeowner accused of killing a house cleaner was charged Monday with voluntary manslaughter in a case that raises questions about the limits of stand-your-ground laws.,ONLY AVAILABLE IN PAID PLANS,,['CNN'],english,['united states of america'],"['top', 'crime']",2025-11-17 19:48:55,UTC,https://media.cnn.com/api/v1/images/stellar/prod/c-ap25311730392460.jpg?c=16x9&q=w_800%2Cc_fill,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
9cad36a6c7a38beaf73e175242f29872,https://www.cnn.com/2025/11/17/sport/video/kris-boyd-shooting-jets-trending-cli-hrzn,Why Kris Boyd is trending,"New York Jets player Kris Boyd was rushed to the hospital after being injured in a shooting on Sunday morning. CNN sports anchor Coy Wire has more on what led to the incident. Discover more videos, including live streams and exclusive storytelling, on our Watch page.",ONLY AVAILABLE IN PAID PLANS,"['cli', 'premium - no ads']",['Coy Wire'],english,['united states of america'],"['top', 'crime']",2025-11-17 18:50:14,UTC,https://media.cnn.com/api/v1/images/stellar/prod/cli251105-kris-boyd-thumb1.jpg?c=16x9&q=w_1280%2Cc_fill,,cnn,Cnn,165,https://edition.cnn.com,https://n.bytvi.com/cnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False,edition
